question,answers
What is the effect of longer-interval versus standard dosing of zoledronic acid on skeletal events in patients with bone metastases?,"Himelstein AL, Foster JC, Khatcheressian JL, et al. Effect of longer-interval vs standard dosing of zoledronic acid on skeletal events in patients with bone metastases: a randomized clinical trial. JAMA 2017;317:48-58."
What imaging techniques are used for anatomic and functional evaluation in prostate cancer according to the NCCN Guidelines?,"Anatomic imaging techniques include ultrasound, CT, and MRI. Functional imaging techniques include radionuclide bone scan, PET/CT, and advanced MRI techniques, such as spectroscopy and diffusion-weighted imaging (DWI)."
What is the Will Rogers effect in the context of prostate cancer treatment?,"When patients with the worst prognosis move from one risk group to the higher risk group, the average outcome of both risk groups will improve even if treatment has no impact on disease. This phenomenon is known as the Will Rogers effect, in which the improved outcomes of both groups could be falsely attributed to improvement in treatment, but would be due only to improved risk group assignment."
What are the options for confirmatory testing in active surveillance for prostate cancer?,"Options for confirmatory testing include prostate biopsy, mpMRI with calculation of PSA density (and repeat biopsy as indicated), and/or molecular tumor analysis. See Principles of Risk Stratification and Biomarkers (PROS-H). Other forms of imaging are discouraged."
"What is the publication year and journal of the study by Cooperberg MR, Zheng Y, Faino AV, et al. on tailoring intensity of active surveillance for low-risk prostate cancer?","Cooperberg MR, Zheng Y, Faino AV, et al. Tailoring intensity of active surveillance for low-risk prostate cancer based on individualized prediction of risk stability. JAMA Oncol 2020;6:e203187."
What are the adverse effects of androgen deprivation therapy (ADT) according to the NCCN Guidelines Version 2.2025 for Prostate Cancer?,"ADT has a variety of adverse effects, including hot flashes, loss of libido, erectile dysfunction, shrinkage of penis and testicles, loss of muscle mass and strength, fatigue, anemia, breast enlargement and tenderness/soreness, depression and mood swings, hair loss, osteoporosis, greater incidence of clinical fractures, obesity, insulin resistance, alterations in lipids, and greater risk for diabetes and cardiovascular disease."
What is the significance of the Multimodal Artificial Intelligence (MMAI) model in prostate cancer treatment according to the NCCN Guidelines?,"The MMAI model was superior for discrimination of DM and PCSM than standard clinical and pathologic variables and models (5-year DM AUC was 0.83 vs. 0.72 for MMAI vs. NCCN, respectively (P < .001)). For patients with high-risk prostate cancer treated with RT + ADT, MMAI was able to risk stratify patients with a 10-year DM risk of 8% for MMAI quartiles Q1–2 versus 26% for MMAI Q3–4."
What study validates the Decipher genomic classifier in patients receiving salvage radiotherapy without hormone therapy after radical prostatectomy?,"Dal Pra A, Ghadjar P, Hayoz S, et al. Validation of the Decipher genomic classifier in patients receiving salvage radiotherapy without hormone therapy after radical prostatectomy - an ancillary study of the SAKK 09/10 randomized clinical trial. Ann Oncol 2022;33:950-958."
What is the title and source of the paper published in Lancet Oncology in 2022?,"metastatic castration-resistant prostate cancer (TheraP): a biomarker analysis from a randomised, open-label, phase 2 trial. Lancet Oncol 2022;23:1389-1397."
What are the recommended doses for adjuvant or secondary post-prostatectomy radiotherapy for rising PSA according to the NCCN Guidelines Version 2.2025?,Typical prescribed doses for adjuvant RT or secondary post-prostatectomy RT for rising PSA are 64–72 Gy in standard fractionation.
What are the fractionation regimens compared in the RADICALS-RT trial and the NRG GU003 trial?,RADICALS-RT trial (52.5 Gy/20 fractions vs. 66 Gy/33 fractions) and in the 2-year report of the NRG GU003 trial (62.5 Gy/25 fractions vs. 66.6 Gy/37 fractions).
What is the publication year of the study by Kishan AU on MRI-guided vs CT-guided stereotactic body radiotherapy for prostate cancer?,"Kishan AU, Ma TM, Lamb JM, et al. Magnetic resonance imaging-guided vs computed tomography-guided stereotactic body radiotherapy for prostate cancer: The MIRAGE randomized clinical trial. JAMA Oncol 2023;9:365-373."
What is the title of the systematic review by Fossati N and colleagues on lymph node dissection during radical prostatectomy for prostate cancer?,The benefits and harms of different extents of lymph node dissection during radical prostatectomy for prostate cancer: A systematic review. Eur Urol 2017;72:84-109.
